ref,value,Campo1,Campo2,Campo3,Campo4,Campo5,Campo6,Campo7,Campo8
C1,47p,Kemet,C1206C470J5GACTU,Farnell Italia S.p.A,1414734,0.109,,,
C2,47p,Kemet,C1206C470J5GACTU,Farnell Italia S.p.A.,1414734,0.109,,,
C3,100n,Kemet,C1206C104K1RACTU,Farnell Italia S.p.A.,1414714,0.132,,,
C4,100n,Kemet,C1206C104K1RACTU,Farnell Italia S.p.A.,1414714,0.132,,,
D1,LED,Kingright,KPTR-3216SGC,Farnell Italia S.p.A.,2099255,0.11,,,
D2,LED,Kingright,KPTR-3216SYCK,Farnell Italia S.p.A.,2099257,0.112,,,
D3,LED,Kingright,KPTR-3216SGC,Farnell Italia S.p.A.,2099255,0.11,,,
JP1,ENABLE_VCC,,,,,,,,
P1,USB,Multicomp,MC32603,Farnell Italia S.r.l.,1696544,0.546,,,
P2,RX,,,,,,,,
P3,TX,,,,,,,,
P4,GND,,,,,,,,
P5,ESP8266,Seeedstudio,114990085,Robot Italy,808080,6.27,,,
P6,UART_TERMINAL,,,,,,,,
P7,UART_GROVE,JST,B04B-PASK-1,RS Components S.p.A.,512-8608,0.378,,,
R1,27,Vishay Draloric,CRCW120627R0FKEAHP,Farnell Italia S.p.A.,1738991,0.294,,,
R2,27,Vishay Draloric,CRCW120627R0FKEAHP,Farnell Italia S.p.A.,1738991,0.294,,,
R3,270,Vishay Draloric,CRCW1206270RFKEA,Farnell Italia S.p.A.,1470003,0.0336,,,
R4,270,Vishay Draloric,CRCW1206270RFKEA,Farnell Italia S.p.A.,1470003,0.0336,,,
R5,270,Vishay Draloric,CRCW1206270RFKEA,Farnell Italia S.p.A.,1470003,0.0336,,,
R6,1k,Vishay Draloric,CRCW12061K00FKTA,Farnell Italia S.p.A.,1653075,0.0227,,,
SW1,RESET,Panasonic Electronic Components,EVQ-PE105K,Farnell Italia S.p.A.,2079521,0.346,,,
U1,FT230XS,FTDI Chip,FT230XS-R,RS Components S.p.A.,757-0010,2.00,,,
U2,HM-11,Seeedstudio,210005001,Robot Italy,807809,13.18,,,
